1.555845990206931595e-01,7.421771156392866775e-01
4.673012345737217466e-01,5.550413031467685832e-01
9.191700890647430677e-01,2.551771434922252973e-02
8.480543371606368286e-01,4.185754635857234507e-01
5.061846934307672602e-02,3.429850434519991498e-01
1.055555208104058396e-01,3.739167608637216644e-01
5.924984916312903138e-01,9.757363836120669376e-01
3.223302350833758823e-01,5.400233807754971638e-01
7.010195536288738039e-01,1.286308465475926588e-01
8.705688105437147106e-01,2.992565443437508743e-01
4.007003645047698542e-02,4.526980781262062714e-01
6.595237553383337392e-01,6.726206255976566739e-01
3.851468226790680793e-01,8.666021086334493306e-01
2.679990517636068326e-01,9.460726529009212404e-01
2.476812868787409139e-01,1.703842048967114664e-01
9.949276591730812358e-01,8.165123818827111357e-01
7.541368622631441365e-01,2.263357465935381951e-01
4.330419221679433495e-01,9.464912541933548362e-02
5.482573465140662128e-01,6.384961333883258927e-01
6.379544625000395097e-01,7.855018843284840013e-01
